n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
36,83,0.1317,1.470412,0.081459,1.885830537,1.9422419495,0.7090928008,1.1695189632,1.3053557218,0,0
36,84,0.1333,1.456357,0.165910,1.9461267756,1.9567471291,0.7592106025,1.0733218635,1.4600830313,0,0
36,85,0.1349,1.410269,0.347370,2.0304029825,1.9838071547,0.8903318028,1.1649091407,1.4795068797,0,0
36,86,0.1365,1.605517,0.187933,2.0676486688,2.0623898338,0.9066493226,0.9179969514,1.3326332927,0,0
36,87,0.1381,1.657535,0.153872,2.1187681074,2.0827335501,0.8721642819,1.2029026811,1.3858764517,0,0
36,88,0.1397,1.681499,0.224901,2.1578874422,2.1593925692,1.0415622746,1.2895927416,1.1699492455,0,0
36,89,0.1413,1.713382,0.040110,2.2283721782,2.1701067432,0.9599183917,1.2203737925,1.2100315005,0,0
36,90,0.1429,1.842564,0.081520,2.2390901353,2.1972549481,1.0957110248,1.3277052868,1.6399672271,0,0
36,91,0.1444,1.754736,0.145114,2.2960439179,2.3179065522,1.0769067046,1.4215701712,1.592572439,0,0
36,92,0.1460,1.907765,0.088059,2.3490866056,2.3821080102,1.0431220975,1.4390502332,1.587740785,0,0
36,93,0.1476,1.903021,0.101725,2.4351585803,2.3917945976,1.0939592318,1.0428052781,1.5833023462,0,0
36,94,0.1492,2.029176,0.133396,2.4603614306,2.4056521083,1.118760525,1.315067894,1.494129782,0,0
36,95,0.1508,2.007039,0.104187,2.5045086012,2.5204324731,1.2238737951,1.3127720813,1.88800476,0,0
36,96,0.1524,2.056811,0.086574,2.5806088539,2.5266288735,1.3335433399,1.5420199925,1.6654753246,0,0
36,97,0.1540,1.889078,0.207959,2.6327122439,2.5696762183,1.3900780132,1.7074291259,1.8167736417,0,0
36,98,0.1556,2.099864,0.037337,2.6793881887,2.6316790464,1.1679768939,1.5155014322,1.6511603083,0,0
36,99,0.1571,2.128033,0.121432,2.6976742317,2.7063751751,1.1029114252,1.5520611608,1.7952851535,0,0
36,100,0.1587,1.917422,0.243582,2.7452900972,2.7344883341,1.3384789199,1.4864121312,1.5766871655,0,0
36,101,0.1603,2.088452,0.186958,2.8125449228,2.7665152417,1.43826326,1.4818669012,1.8283956612,0,0
36,102,0.1619,2.291201,0.141400,2.9021001362,2.7788587623,1.4879297144,1.9147707659,1.9761986403,0,0
36,103,0.1635,2.191251,0.226367,2.9188619027,2.8468539031,1.3705660647,1.8034160661,1.8037466064,0,0
36,104,0.1651,2.340430,0.156351,2.9682419508,2.8519162082,1.5012740674,1.4552999589,2.1386953453,0,0
36,105,0.1667,2.383223,0.122510,3.0267076285,2.9330370916,1.3420504264,1.9195905624,2.0990505315,0,0
36,106,0.1683,2.360328,0.267939,3.0640079481,3.0037164372,1.5840094031,1.6911477696,2.0333278445,0,0
36,107,0.1698,2.249576,0.213561,3.0836818768,3.1035073938,1.530576327,1.7977395675,2.0034567466,0,0
36,108,0.1714,2.575149,0.138299,3.1385474411,3.1036898492,1.3069019338,1.906211302,2.3362520285,0,0
36,109,0.1730,2.508829,0.060739,3.1791743754,3.1411085894,1.2106791004,1.6385350313,2.4863896915,0,0
36,110,0.1746,2.782773,0.080056,3.2433720043,3.2598076801,1.2575592428,1.9372333891,2.1581607707,0,0
36,111,0.1762,2.555527,0.281306,3.3032219055,3.2602267046,1.2468448351,1.7798846769,2.6243113249,0,0
36,112,0.1778,2.638375,0.146519,3.3199978675,3.4151973074,1.3774057547,1.9253302055,2.3050716203,0,0
36,113,0.1794,2.746399,0.177553,3.3839553077,3.4666344754,1.464173537,2.0920003117,2.1633594789,0,0
36,114,0.1810,2.679574,0.271176,3.4236909444,3.4795005149,1.419687553,2.060082845,2.1336020579,0,0
36,115,0.1825,2.888623,0.062748,3.4609601896,3.52818427,1.4949226808,2.1852958677,1.8211404315,0,0
36,116,0.1841,2.813546,0.062672,3.518292415,3.6228602774,1.4892054411,2.284039001,2.3852394679,0,0
36,117,0.1857,2.916940,0.185179,3.5732843792,3.6796630941,1.5839711457,2.046433022,2.7622239866,0,0
36,118,0.1873,2.912325,0.145607,3.6172836087,3.776160289,1.6565395282,2.4824987175,2.4977880825,0,0
36,119,0.1889,2.946880,0.160101,3.6937973461,3.7762102056,1.7462036085,2.2483305999,2.8203413897,0,0
36,120,0.1905,2.723286,0.151878,3.7520659616,3.8382485704,1.7379154785,2.3431841377,2.5870710239,0,0
36,121,0.1921,2.984993,0.126797,3.7704402696,3.8429406729,1.7204666364,2.4273273621,2.6210016292,0,0
